epoch,train_loss,val_loss,val_auroc,val_fmax,val_f1,lr,time_s
1,1.003668,0.897358,0.862714,0.556763,0.523476,4.00e-04,50.3
2,0.901733,0.855919,0.888820,0.616700,0.575176,6.00e-04,48.4
3,0.872324,0.816567,0.896020,0.670864,0.631620,8.00e-04,50.7
4,0.852976,0.851286,0.892383,0.678619,0.638123,1.00e-03,52.2
5,0.842326,0.939152,0.891859,0.578101,0.559950,1.00e-03,51.9
6,0.827117,0.850736,0.901250,0.637054,0.612786,9.99e-04,52.2
7,0.817006,0.796732,0.906887,0.695169,0.664121,9.95e-04,52.2
8,0.812204,0.809383,0.903307,0.719625,0.686302,9.89e-04,52.2
9,0.807194,0.826276,0.902653,0.677949,0.649169,9.81e-04,52.0
10,0.794123,0.834088,0.905366,0.679615,0.634108,9.70e-04,52.1
11,0.794922,0.791296,0.910389,0.699102,0.663927,9.57e-04,52.1
12,0.787855,0.790310,0.911260,0.713995,0.678881,9.42e-04,52.2
13,0.783506,0.848512,0.905943,0.638211,0.599824,9.24e-04,52.0
14,0.780761,0.774377,0.913449,0.748866,0.712337,9.05e-04,52.0
15,0.768477,0.816565,0.910543,0.694325,0.659760,8.83e-04,52.1
16,0.760291,0.844759,0.912501,0.641516,0.611990,8.60e-04,52.1
17,0.758274,0.788686,0.910686,0.701873,0.679925,8.35e-04,52.1
18,0.756117,0.786084,0.906438,0.711018,0.677923,8.08e-04,52.2
19,0.741355,0.795389,0.908256,0.717923,0.698010,7.80e-04,52.1
20,0.736788,0.878726,0.909128,0.635673,0.620955,7.50e-04,52.0
21,0.729134,0.796753,0.906434,0.701307,0.688895,7.19e-04,52.0
22,0.718143,0.790110,0.914412,0.722500,0.700567,6.88e-04,52.2
23,0.713651,0.804541,0.913507,0.699000,0.675497,6.55e-04,52.1
24,0.702900,0.794823,0.908726,0.736623,0.720419,6.21e-04,52.1
25,0.696585,0.821490,0.908160,0.698853,0.678474,5.87e-04,52.0
26,0.688021,0.791136,0.909042,0.736932,0.723882,5.53e-04,52.1
27,0.676664,0.821960,0.905885,0.719320,0.705972,5.18e-04,52.1
28,0.666938,0.830929,0.904862,0.706957,0.692692,4.83e-04,52.0
29,0.655368,0.821344,0.902495,0.719547,0.704607,4.48e-04,52.0
30,0.647858,0.828474,0.902371,0.691500,0.677471,4.14e-04,52.1
31,0.639388,0.818912,0.904689,0.719202,0.705195,3.80e-04,52.1
32,0.627520,0.828650,0.902629,0.728842,0.714949,3.46e-04,52.1
